Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,745.0565,186.2641,325.9134,130.6906,166.4603
3,6,1989.009,331.5014,644.9133,160.1698,208.9829
4,9,4120.019,457.7798,915.9142,177.9208,234.9067
5,13,7451.198,573.1691,1211.914,188.6805,257.8899
6,16,11492.23,718.2643,1486.915,205.4258,276.0826
7,18,15954.43,886.3571,1658.006,222.6489,285.4026
8,22,21818.48,991.749,1946.003,227.2889,301.0529
9,25,27562.47,1102.499,2189.001,235.5017,313.0946
10,26,31685.59,1218.677,2452.001,243.94,325.1622
11,30,39231.56,1307.719,2717.001,247.6797,336.4796
12,33,46887.66,1420.838,2960.006,255.0021,346.2275
13,34,55086.63,1620.195,3823.966,267.1486,376.662
14,37,62882.55,1699.529,4128.972,269.9853,386.4222
15,39,73284.45,1879.088,4437.972,280.4653,395.8315
16,42,86170.5,2051.678,4752.972,290.147,404.9841
17,45,98746.52,2194.367,5077.97,294.9586,414.0126
18,43,109172.6,2538.897,8438.158,313.9156,489.8718
19,43,123362.6,2868.897,8768.16,330.9837,496.1767
20,42,137293.6,3268.894,10014.09,346.631,519.0172
21,39,148038.5,3795.86,13664.13,364.4867,575.6711
22,39,160713.5,4120.86,13989.14,376.4218,580.1979
23,37,171604.5,4637.959,14324.14,391.1526,584.7936
24,37,183999.5,4972.96,14659.12,401.7339,589.3177
25,37,196468.5,5309.96,14996.12,411.77,593.7997
26,35,208955.6,5970.16,15339.12,427.2316,598.2918
27,35,220925.6,6312.16,15681.12,436.2792,602.708
28,33,212679.5,6444.833,15785.09,441.7689,604.8772
29,33,223734.5,6779.833,16120.1,449.941,609.1306
30,33,234657.4,7110.831,16451.09,457.7095,613.2715
31,32,245499.5,7671.859,16786.09,469.601,617.4029
32,30,254570.5,8485.684,20901.13,483.413,664.6838
33,29,251289.3,8665.147,21238.13,487.5401,668.2418
34,28,260600.3,9307.153,21561.13,499.8122,671.6165
35,28,269504.3,9625.154,21879.13,505.9068,674.9058
36,27,278788.3,10325.49,22222.14,516.6827,678.4179
37,25,287929.3,11517.17,22573.13,536.4353,681.9738
38,23,296054.3,12871.93,31337.96,552.891,758.0783
39,22,294335.2,13378.87,31688.92,560.4581,760.896
40,21,294371.1,14017.67,32043.9,570.1777,763.7249
41,21,301847.2,14373.67,32399.86,575.5002,766.5436
42,21,309344.1,14730.67,32756.86,580.7298,769.3498
43,20,306814.2,15340.71,33110.86,589.0678,772.1165
44,20,313894.2,15694.71,33464.86,593.9995,774.8588
45,20,319194.2,15959.71,33729.85,597.6321,776.8923
46,20,324894.2,16244.71,34014.85,601.4858,779.0762
47,20,330794.2,16539.71,34309.87,605.418,781.3216
48,19,336897.2,17731.43,34629.86,619.4676,783.7404
49,18,329529.2,18307.18,34978.86,626.1678,786.3655
50,18,336081.2,18671.18,35342.86,630.6453,789.0831
51,18,342201.3,19011.18,35682.85,634.7653,791.6106
52,18,348051.2,19336.18,36007.85,638.6487,794.0056
53,18,353991.2,19666.18,36337.86,642.5387,796.4204
54,18,359895.2,19994.18,36665.85,646.3545,798.81
55,18,366393.2,20355.18,37026.85,650.4984,801.4242
56,17,352709.4,20747.61,37388.84,654.3395,804.027
57,17,358846.4,21108.61,37749.84,658.3793,806.6044
58,17,364915.6,21465.62,38106.84,662.3229,809.1452
59,17,371052.4,21826.61,38467.84,666.2587,811.689
60,17,377206.6,22188.62,38829.84,670.154,814.2255
61,17,383343.5,22549.62,39190.84,673.9917,816.7412
62,17,389446.6,22908.62,39549.84,677.7631,819.2271
63,17,395549.6,23267.62,39908.83,681.4878,821.6976
64,17,401635.6,23625.62,40266.84,685.1597,824.1542
65,17,407840.7,23990.63,40631.88,688.8618,826.6304
66,16,413949.6,25871.85,56570.14,702.3811,923.0704
67,16,419773.6,26235.85,56934.2,705.9343,925.0329
68,16,425549.8,26596.86,57295.4,709.4195,926.9792
69,16,431325.8,26957.86,57656.5,712.8693,928.9254
70,16,437133.5,27320.84,58019.29,716.3,930.8441
71,16,442893.4,27680.84,58379.17,719.6683,932.747
72,16,448685.4,28042.84,58741.15,723.0231,934.6937
73,16,454445.4,28402.84,59101.13,726.3256,936.6099
74,16,459805.4,28737.84,59436.15,729.3694,938.3806
75,16,465197.6,29074.85,59773.23,732.4048,940.1619
76,16,470493.4,29405.84,59999.09,735.3854,941.3565
77,16,475293.4,29705.84,59999.09,738.1122,941.3565
78,16,480468.5,30029.28,59999.09,741.0266,941.3565
79,16,485628.4,30351.78,59999.09,743.9077,941.3565
80,16,490908.3,30681.77,59999.09,746.8274,941.3565
81,16,495363.5,30960.22,59999.09,749.2725,941.3565
82,16,500568.5,31285.53,59999.09,752.106,941.3565
83,15,481013.6,32067.57,59999.09,758.3442,941.3565
84,15,485843.7,32389.58,59999.09,761.082,941.3565
85,15,490393.5,32692.9,59999.09,763.6425,941.3565
86,14,469887.4,33563.39,59999.09,770.5405,941.3565
87,14,474541.3,33895.81,59999.09,773.2752,941.3565
88,14,479182.4,34227.32,59999.09,775.9816,941.3565
89,14,483888.2,34563.45,59999.09,778.702,941.3565
90,14,488542.2,34895.87,59999.09,781.3737,941.3565
91,14,493248.1,35232,59999.09,784.0542,941.3565
92,14,497915.3,35565.38,59999.09,786.6918,941.3565
93,14,502023.2,35858.8,59999.09,788.9984,941.3565
